object,nodeWeight,degree,pageRank,betweenness,closeness,componentId,strongComponentId,louvainComponentId,labelPropagationId
wall-brick,3,25,0.21420476537467228,2.9435897435897433,0.5154867256637168,1,0,47,6
bus,14,52,0.27996764477219716,63.7798284017324,0.5381062355658198,1,0,31,6
table,15,71,0.39713507780770985,117.26376513493383,0.5508274231678487,1,0,33,6
water,3,27,0.22825609511748007,7.17028147291305,0.516629711751663,1,0,21,6
paper,8,58,0.3689971974688766,72.02403029546988,0.5381062355658198,1,0,31,6
spoon,2,24,0.22966403753826603,0.9581349206349207,0.5143487858719646,1,0,33,6
couch,1,13,0.182714232665034,0,0.5076252723311547,1,5,40,6
floor-wood,1,19,0.23759482222483258,0,0.5109649122807017,1,0,47,6
cardboard,3,41,0.29628894226954844,11.387398506206555,0.5247747747747747,1,0,31,6
bench,5,39,0.27858745053682016,23.95909033776681,0.5247747747747747,1,0,31,6
chair,29,105,0.48152500952534916,354.8961238280124,0.5839598997493735,1,0,33,6
handbag,12,68,0.35878798967397596,103.26700023402805,0.5469483568075117,1,0,33,6
bicycle,3,35,0.25010452303814246,5.32537185037185,0.5212527964205816,1,0,31,6
bottle,20,86,0.4980478045059886,203.62810214381417,0.5641646489104116,1,0,33,6
window,7,45,0.33967084263630853,31.757990109305897,0.5295454545454545,1,0,33,6
wall-wood,1,13,0.19068998763363565,0,0.5076252723311547,1,0,7,6
towel,2,12,0.17959246692878883,1.0333333333333332,0.5076252723311547,1,0,38,6
motorcycle,25,79,0.3662007128272125,214.5092733418972,0.5628019323671497,1,0,31,6
cell phone,2,22,0.2272358121349804,1.261111111111111,0.513215859030837,1,5,33,6
pavement,25,95,0.4513329235940257,276.2203122427967,0.5738916256157636,1,0,31,6
suitcase,3,27,0.22223941359662386,3.4504329004329,0.516629711751663,1,0,31,6
car,22,72,0.3362964848301758,162.28986132116933,0.5560859188544153,1,0,31,6
pizza,1,19,0.23759482222561504,0,0.5109649122807017,1,1,47,6
laptop,6,40,0.3183258862619408,17.354108799697038,0.5259593679458239,1,0,33,6
tree,29,89,0.38536110635614207,317.3100469963472,0.5724815724815725,1,0,7,6
banana,1,7,0.16431027959529423,0,0.5043290043290043,1,12,40,6
tent,4,38,0.2983743901969268,15.490122785711021,0.5235955056179775,1,0,47,6
door-stuff,14,66,0.35817803264790604,90.38438515818544,0.5469483568075117,1,0,33,6
dining table,11,55,0.3210379959358228,44.67385371766176,0.5381062355658198,1,0,33,6
wall-tile,2,18,0.2143826890586293,1.5075757575757576,0.5109649122807017,1,0,33,6
grass,6,22,0.22084887954449195,9.409523809523808,0.5154867256637168,1,0,21,6
dirt,47,121,0.49832352687682707,807.4312766438933,0.6099476439790575,1,0,7,6
rug,4,40,0.334630700251334,15.726018426018427,0.5247747747747747,1,0,33,6
sports ball,5,39,0.26186931014651216,14.01906190215014,0.5247747747747747,1,0,33,6
wall-stone,12,54,0.3123264472925,65.35025432084252,0.5381062355658198,1,0,7,6
wall,84,186,0.7270931294281653,2724.7431401888466,0.7039274924471299,1,0,40,6
things,1,5,0.1566717519472669,0,0.5032397408207343,1,0,38,6
sand,83,159,0.508087829687994,2080.1906274238318,0.6753623188405797,1,0,38,6
potted plant,4,38,0.25721724508410515,8.402945562349588,0.5235955056179775,1,0,31,6
cabinet,1,9,0.17268298668124935,0,0.5054229934924078,1,0,40,6
cup,11,79,0.4592284584664819,96.17093282104886,0.5534441805225653,1,0,33,6
floor,29,99,0.49918086752979807,353.5038371114609,0.5796019900497512,1,0,33,6
mountain,1,9,0.1746595558333166,0,0.5054229934924078,1,0,21,6
banner,24,82,0.43739926383550265,291.49010592950214,0.5641646489104116,1,0,47,6
road,10,44,0.2744942766848508,35.649718745306984,0.530751708428246,1,0,31,6
window-blind,1,11,0.18853693406462274,0,0.5065217391304347,1,0,33,6
backpack,11,57,0.316110878952625,51.046347482067276,0.5393518518518519,1,0,31,6
curtain,4,24,0.23030029098104504,3.228571428571428,0.5154867256637168,1,0,33,6
ceiling,12,58,0.33843411031814447,67.3591841766764,0.5406032482598608,1,0,33,6
bowl,6,46,0.33757140557052173,26.14390090903249,0.5295454545454545,1,0,33,6
rock,9,41,0.2605237419182612,34.79098858657683,0.528344671201814,1,0,7,6
sky,101,179,0.5115393199051063,2973.9470858347017,0.7147239263803681,1,0,38,6
book,5,45,0.3190988790836021,23.24729200538024,0.528344671201814,1,0,33,6
food,6,40,0.2835569081776324,19.05037827669407,0.5259593679458239,1,0,7,6
truck,19,59,0.2813654251110039,111.39732803745956,0.5456674473067916,1,0,31,6
person,177,289,0.850460942922587,13534.50670440239,1,1,0,38,6
building,27,83,0.3775528170629489,220.3496515309596,0.5669099756690997,1,0,31,6
