,Image,object
0,PHOTO-2023-12-08-12-38-34.jpg,sand
1,PHOTO-2023-12-08-12-38-34.jpg,tree
2,PHOTO-2023-12-08-12-38-34.jpg,sky
3,PHOTO-2023-12-08-12-38-34.jpg,dirt
4,PHOTO-2023-12-08-12-38-34.jpg,building
5,PHOTO-2023-12-08-12-38-34.jpg,person
6,PHOTO-2023-12-08-12-38-34.jpg,car
7,PHOTO-2023-12-08-12-38-34.jpg,potted plant
8,PHOTO-2023-10-24-16-07-03-2.jpg,sand
9,PHOTO-2023-10-24-16-07-03-2.jpg,tent
10,PHOTO-2023-10-24-16-07-03-2.jpg,sky
11,PHOTO-2023-10-24-16-07-03-2.jpg,person
12,PHOTO-2023-10-24-16-07-03-2.jpg,handbag
13,PHOTO-2023-10-24-16-07-03-2.jpg,bowl
14,PHOTO-2023-10-24-15-39-20-1.jpg,sand
15,PHOTO-2023-10-24-15-39-20-1.jpg,sky
16,PHOTO-2023-10-24-15-39-20-1.jpg,person
17,PHOTO-2023-10-24-15-39-20-1.jpg,motorcycle
18,PHOTO-2023-10-24-15-39-20-1.jpg,chair
19,snapshot_012.bmp,sand
20,snapshot_012.bmp,tree
21,snapshot_012.bmp,sky
22,snapshot_012.bmp,person
23,PHOTO-2023-10-24-16-06-51.jpg,sky
24,PHOTO-2023-10-24-16-06-51.jpg,dirt
25,PHOTO-2023-10-24-16-06-51.jpg,building
26,PHOTO-2023-10-24-16-06-51.jpg,wall
27,PHOTO-2023-10-24-16-06-51.jpg,person
28,PHOTO-2023-10-24-16-06-51.jpg,motorcycle
29,PHOTO-2023-10-30-12-29-21.jpg,tree
30,PHOTO-2023-10-30-12-29-21.jpg,sky
31,PHOTO-2023-10-30-12-29-21.jpg,pavement
32,PHOTO-2023-10-30-12-29-21.jpg,dirt
33,PHOTO-2023-10-30-12-29-21.jpg,person
34,PHOTO-2023-10-30-12-29-21.jpg,car
35,PHOTO-2023-10-30-12-29-21.jpg,bus
36,PHOTO-2023-10-30-12-29-21.jpg,backpack
37,PHOTO-2023-10-30-12-29-21.jpg,potted plant
38,PHOTO-2023-10-30-12-29-20.jpg,tree
39,PHOTO-2023-10-30-12-29-20.jpg,sky
40,PHOTO-2023-10-30-12-29-20.jpg,pavement
41,PHOTO-2023-10-30-12-29-20.jpg,person
42,PHOTO-2023-10-30-12-29-20.jpg,car
43,PHOTO-2023-10-30-12-29-20.jpg,bus
44,PHOTO-2023-10-30-12-29-20.jpg,suitcase
45,IMG_4207.JPG,towel
46,IMG_4207.JPG,wall-stone
47,IMG_4207.JPG,sky
48,IMG_4207.JPG,paper
49,IMG_4207.JPG,person
50,snapshot_014.bmp,sand
51,snapshot_014.bmp,tree
52,snapshot_014.bmp,sky
53,snapshot_014.bmp,person
54,snapshot_017.bmp,sand
55,snapshot_017.bmp,tree
56,snapshot_017.bmp,sky
57,snapshot_017.bmp,grass
58,snapshot_017.bmp,person
59,PHOTO-2023-10-24-16-06-51-1.jpg,banner
60,PHOTO-2023-10-24-16-06-51-1.jpg,person
61,snapshot_007.bmp,ceiling
62,snapshot_007.bmp,wall
63,snapshot_007.bmp,person
64,PHOTO-2023-10-24-16-07-03-1.jpg,sand
65,PHOTO-2023-10-24-16-07-03-1.jpg,wall-stone
66,PHOTO-2023-10-24-16-07-03-1.jpg,sky
67,PHOTO-2023-10-24-16-07-03-1.jpg,wall
68,PHOTO-2023-10-24-16-07-03-1.jpg,person
69,PHOTO-2023-10-30-12-29-17.jpg,dirt
70,PHOTO-2023-10-30-12-29-17.jpg,person
71,PHOTO-2023-10-30-12-29-17.jpg,bus
72,PHOTO-2023-10-30-12-29-17.jpg,handbag
73,PHOTO-2023-10-24-16-06-58-1.jpg,sky
74,PHOTO-2023-10-24-16-06-58-1.jpg,floor
75,PHOTO-2023-10-24-16-06-58-1.jpg,wall
76,PHOTO-2023-10-24-16-06-58-1.jpg,person
77,PHOTO-2023-10-24-16-06-58-1.jpg,sports ball
78,PHOTO-2023-10-24-16-06-58-1.jpg,bottle
79,PHOTO-2023-10-24-16-06-58-1.jpg,chair
80,PHOTO-2023-10-24-16-06-58-1.jpg,dining table
81,IMG_20200206_101801.jpg,banner
82,IMG_20200206_101801.jpg,door-stuff
83,IMG_20200206_101801.jpg,ceiling
84,IMG_20200206_101801.jpg,table
85,IMG_20200206_101801.jpg,floor
86,IMG_20200206_101801.jpg,wall
87,IMG_20200206_101801.jpg,person
88,IMG_20200206_101801.jpg,bottle
89,IMG_20200206_101801.jpg,chair
90,PHOTO-2023-10-30-12-29-12.jpg,sand
91,PHOTO-2023-10-30-12-29-12.jpg,sky
92,PHOTO-2023-10-30-12-29-12.jpg,dirt
93,PHOTO-2023-10-30-12-29-12.jpg,building
94,PHOTO-2023-10-30-12-29-12.jpg,person
95,PHOTO-2023-10-30-12-29-12.jpg,bicycle
96,PHOTO-2023-10-30-12-29-12.jpg,car
97,PHOTO-2023-10-30-12-29-12.jpg,motorcycle
98,PHOTO-2023-10-30-12-29-12.jpg,bus
99,PHOTO-2023-10-30-12-29-12.jpg,chair
100,PHOTO-2023-10-30-12-29-19.jpg,road
101,PHOTO-2023-10-30-12-29-19.jpg,dirt
102,PHOTO-2023-10-30-12-29-19.jpg,person
103,PHOTO-2023-10-30-12-29-19.jpg,bus
104,IMG_4204.JPG,towel
105,IMG_4204.JPG,sky
106,IMG_4204.JPG,building
107,IMG_4204.JPG,person
108,PHOTO-2023-10-30-12-29-11.jpg,road
109,PHOTO-2023-10-30-12-29-11.jpg,sky
110,PHOTO-2023-10-30-12-29-11.jpg,pavement
111,PHOTO-2023-10-30-12-29-11.jpg,person
112,PHOTO-2023-10-30-12-29-11.jpg,car
113,PHOTO-2023-10-30-12-29-11.jpg,motorcycle
114,PHOTO-2023-10-30-12-29-11.jpg,bus
115,PHOTO-2023-10-24-16-06-58.jpg,sand
116,PHOTO-2023-10-24-16-06-58.jpg,tent
117,PHOTO-2023-10-24-16-06-58.jpg,sky
118,PHOTO-2023-10-24-16-06-58.jpg,person
119,PHOTO-2023-10-24-16-06-58.jpg,motorcycle
120,PHOTO-2023-10-24-16-06-55-1.jpg,sand
121,PHOTO-2023-10-24-16-06-55-1.jpg,sky
122,PHOTO-2023-10-24-16-06-55-1.jpg,person
123,snapshot_004.bmp,sky
124,snapshot_004.bmp,person
125,snapshot_004.bmp,car
126,IMG_20230504_082534.jpg,sand
127,IMG_20230504_082534.jpg,person
128,IMG_20230504_082534.jpg,car
129,IMG_20221221_163721.jpg,pavement
130,IMG_20221221_163721.jpg,wall
131,IMG_20221221_163721.jpg,person
132,IMG_20221221_163721.jpg,bottle
133,IMG_20221221_163721.jpg,cup
134,IMG_20221221_163721.jpg,chair
135,PHOTO-2023-10-24-15-39-18-1.jpg,sand
136,PHOTO-2023-10-24-15-39-18-1.jpg,sky
137,PHOTO-2023-10-24-15-39-18-1.jpg,building
138,PHOTO-2023-10-24-15-39-18-1.jpg,wall
139,PHOTO-2023-10-24-15-39-18-1.jpg,person
140,PHOTO-2023-10-24-15-39-18-1.jpg,motorcycle
141,IMG_20230503_100341.jpg,sand
142,IMG_20230503_100341.jpg,sky
143,IMG_20230503_100341.jpg,person
144,IMG_20230503_100341.jpg,car
