object_Node,object_Neighbor,object_Weight,object_LinkType
banner,banner,24,SS
banner,cardboard,1,SS
banner,door-stuff,2,SS
banner,floor-wood,1,SS
banner,sand,5,SS
banner,tent,2,SS
banner,wall-brick,3,SS
banner,wall-wood,1,SS
banner,tree,1,SS
banner,ceiling,5,SS
banner,sky,6,SS
banner,cabinet,1,SS
banner,table,4,SS
banner,floor,5,SS
banner,dirt,7,SS
banner,paper,3,SS
banner,building,4,SS
banner,wall,15,SS
banner,rug,1,SS
banner,person,21,ST
banner,motorcycle,1,ST
banner,backpack,1,ST
banner,handbag,1,ST
banner,bottle,7,ST
banner,cup,2,ST
banner,bowl,1,ST
banner,pizza,1,ST
banner,chair,7,ST
banner,dining table,4,ST
banner,book,1,ST
cardboard,banner,1,SS
cardboard,cardboard,3,SS
cardboard,road,1,SS
cardboard,wall-wood,1,SS
cardboard,tree,1,SS
cardboard,sky,1,SS
cardboard,floor,1,SS
cardboard,pavement,1,SS
cardboard,dirt,2,SS
cardboard,paper,2,SS
cardboard,food,1,SS
cardboard,building,1,SS
cardboard,wall,3,SS
cardboard,person,3,ST
cardboard,car,1,ST
cardboard,motorcycle,1,ST
cardboard,bench,1,ST
cardboard,backpack,1,ST
cardboard,chair,1,ST
cardboard,potted plant,1,ST
curtain,curtain,4,SS
curtain,ceiling,2,SS
curtain,table,3,SS
curtain,floor,1,SS
curtain,wall,4,SS
curtain,rug,2,SS
curtain,person,4,ST
curtain,chair,4,ST
curtain,dining table,2,ST
curtain,laptop,3,ST
curtain,book,1,ST
door-stuff,banner,2,SS
door-stuff,door-stuff,14,SS
door-stuff,sand,3,SS
door-stuff,wall-stone,2,SS
door-stuff,window,2,SS
door-stuff,tree,2,SS
door-stuff,ceiling,2,SS
door-stuff,sky,4,SS
door-stuff,table,3,SS
door-stuff,floor,6,SS
door-stuff,pavement,6,SS
door-stuff,dirt,2,SS
door-stuff,building,2,SS
door-stuff,wall,14,SS
door-stuff,person,14,ST
door-stuff,bicycle,1,ST
door-stuff,motorcycle,2,ST
door-stuff,truck,1,ST
door-stuff,handbag,1,ST
door-stuff,sports ball,1,ST
door-stuff,bottle,4,ST
door-stuff,cup,3,ST
door-stuff,chair,6,ST
door-stuff,couch,1,ST
door-stuff,dining table,3,ST
door-stuff,laptop,1,ST
door-stuff,cell phone,1,ST
floor-wood,banner,1,SS
floor-wood,floor-wood,1,SS
floor-wood,tent,1,SS
floor-wood,wall,1,SS
floor-wood,rug,1,SS
floor-wood,person,1,ST
floor-wood,bottle,1,ST
floor-wood,cup,1,ST
floor-wood,bowl,1,ST
floor-wood,pizza,1,ST
road,cardboard,1,SS
road,road,10,SS
road,sky,9,SS
road,pavement,6,SS
road,dirt,3,SS
road,paper,1,SS
road,building,5,SS
road,wall,1,SS
road,person,10,ST
road,bicycle,1,ST
road,car,4,ST
road,motorcycle,5,ST
road,bus,6,ST
road,truck,3,ST
road,bench,1,ST
road,backpack,3,ST
road,handbag,1,ST
road,suitcase,1,ST
sand,banner,5,SS
sand,door-stuff,3,SS
sand,sand,83,SS
sand,tent,3,SS
sand,wall-brick,2,SS
sand,wall-stone,7,SS
sand,water,1,SS
sand,tree,13,SS
sand,ceiling,2,SS
sand,sky,65,SS
sand,table,1,SS
sand,floor,2,SS
sand,pavement,6,SS
sand,grass,1,SS
sand,dirt,22,SS
sand,food,1,SS
sand,building,15,SS
sand,rock,7,SS
sand,wall,26,SS
sand,things,1,SS
sand,person,79,ST
sand,bicycle,1,ST
sand,car,13,ST
sand,motorcycle,14,ST
sand,bus,3,ST
sand,truck,12,ST
sand,bench,1,ST
sand,backpack,5,ST
sand,handbag,8,ST
sand,suitcase,1,ST
sand,sports ball,2,ST
sand,bottle,2,ST
sand,cup,1,ST
sand,spoon,1,ST
sand,bowl,3,ST
sand,chair,5,ST
sand,potted plant,2,ST
sand,dining table,1,ST
sand,book,1,ST
tent,banner,2,SS
tent,floor-wood,1,SS
tent,sand,3,SS
tent,tent,4,SS
tent,wall-brick,1,SS
tent,ceiling,1,SS
tent,sky,2,SS
tent,dirt,1,SS
tent,wall,2,SS
tent,rug,1,SS
tent,person,4,ST
tent,motorcycle,1,ST
tent,handbag,1,ST
tent,bottle,1,ST
tent,cup,1,ST
tent,bowl,2,ST
tent,pizza,1,ST
tent,chair,1,ST
towel,towel,2,SS
towel,wall-stone,1,SS
towel,sky,2,SS
towel,paper,1,SS
towel,building,1,SS
towel,person,2,ST
wall-brick,banner,3,SS
