,Node,type
0,things,stuff
1,banner,stuff
2,blanket,stuff
3,bridge,stuff
4,cardboard,stuff
5,counter,stuff
6,curtain,stuff
7,door-stuff,stuff
8,floor-wood,stuff
9,flower,stuff
10,fruit,stuff
11,gravel,stuff
12,house,stuff
13,light,stuff
14,mirror-stuff,stuff
15,net,stuff
16,pillow,stuff
17,platform,stuff
18,playingfield,stuff
19,railroad,stuff
20,river,stuff
21,road,stuff
22,roof,stuff
23,sand,stuff
24,sea,stuff
25,shelf,stuff
26,snow,stuff
27,stairs,stuff
28,tent,stuff
29,towel,stuff
30,wall-brick,stuff
31,wall-stone,stuff
32,wall-tile,stuff
33,wall-wood,stuff
34,water,stuff
35,window-blind,stuff
36,window,stuff
37,tree,stuff
38,fence,stuff
39,ceiling,stuff
40,sky,stuff
41,cabinet,stuff
42,table,stuff
43,floor,stuff
44,pavement,stuff
45,mountain,stuff
46,grass,stuff
47,dirt,stuff
48,paper,stuff
49,food,stuff
50,building,stuff
51,rock,stuff
52,wall,stuff
53,rug,stuff
0,person,thing
1,bicycle,thing
2,car,thing
3,motorcycle,thing
4,airplane,thing
5,bus,thing
6,train,thing
7,truck,thing
8,boat,thing
9,traffic light,thing
10,fire hydrant,thing
11,stop sign,thing
12,parking meter,thing
13,bench,thing
14,bird,thing
15,cat,thing
16,dog,thing
17,horse,thing
18,sheep,thing
19,cow,thing
20,elephant,thing
21,bear,thing
22,zebra,thing
23,giraffe,thing
24,backpack,thing
25,umbrella,thing
26,handbag,thing
27,tie,thing
28,suitcase,thing
29,frisbee,thing
30,skis,thing
31,snowboard,thing
32,sports ball,thing
33,kite,thing
34,baseball bat,thing
35,baseball glove,thing
36,skateboard,thing
37,surfboard,thing
38,tennis racket,thing
39,bottle,thing
40,wine glass,thing
41,cup,thing
42,fork,thing
43,knife,thing
44,spoon,thing
45,bowl,thing
46,banana,thing
47,apple,thing
48,sandwich,thing
49,orange,thing
50,broccoli,thing
51,carrot,thing
52,hot dog,thing
53,pizza,thing
54,donut,thing
55,cake,thing
56,chair,thing
57,couch,thing
58,potted plant,thing
59,bed,thing
60,dining table,thing
61,toilet,thing
62,tv,thing
63,laptop,thing
64,mouse,thing
65,remote,thing
66,keyboard,thing
67,cell phone,thing
68,microwave,thing
69,oven,thing
70,toaster,thing
71,sink,thing
72,refrigerator,thing
73,book,thing
74,clock,thing
75,vase,thing
76,scissors,thing
77,teddy bear,thing
78,hair drier,thing
79,toothbrush,thing
