,Time,Lens Info,Dots/Inch,Image Size,Coordinates,State,Longitude,Direction,Brand,MIME Type,Time Zone,Long Ref,Country,ISO Speed,Date,F Number,Pointing,Color Space,Unique ID,Resolution,Lat Ref,Altitude,City,Shutter,Latitude,Model,Flash
GOPR1921.JPG,08:42:59 (GMT +01:00),Unknown,72 DPI,4000 x 3000 pixels,"19° 20' 39.02"" N , 5° 46' 31.39"" E",,5.775386,,GoPro,image/jpeg,Africa / Niamey,East,Niger,ISO 100,2016-01-18,f/2.8,,RGB ,,12.0 megapixels,North,409m. (Above Sea Level),,1/1155 (0.0009 seconds),19.344172,HERO7 Black,Not Used
GOPR1940.JPG,08:19:01 (GMT +01:00),Unknown,72 DPI,4000 x 3000 pixels,"19° 26' 40.04"" N , 5° 48' 45.14"" E",In Guezzam,5.812538,,GoPro,image/jpeg,Africa / Niamey,East,Algeria,ISO 188,2016-01-19,f/2.8,,RGB ,,12.0 megapixels,North,417m. (Above Sea Level),In Guezzam,1/946 (0.0011 seconds),19.444456,HERO7 Black,Not Used
GOPR1943.JPG,08:20:12 (GMT +01:00),Unknown,72 DPI,4000 x 3000 pixels,"19° 26' 40.03"" N , 5° 48' 45.08"" E",In Guezzam,5.812523,,GoPro,image/jpeg,Africa / Niamey,East,Algeria,ISO 122,2016-01-19,f/2.8,,RGB ,,12.0 megapixels,North,416m. (Above Sea Level),In Guezzam,1/962 (0.001 seconds),19.444454,HERO7 Black,Not Used
G0041951.JPG,08:21:37 (GMT +01:00),Unknown,72 DPI,4000 x 3000 pixels,"19° 26' 39.62"" N , 5° 48' 44.56"" E",In Guezzam,5.812378,,GoPro,image/jpeg,Africa / Niamey,East,Algeria,ISO 103,2016-01-19,f/2.8,,RGB ,,12.0 megapixels,North,414m. (Above Sea Level),In Guezzam,1/962 (0.001 seconds),19.444339,HERO7 Black,Not Used
GOPR1955.JPG,08:22:50 (GMT +01:00),Unknown,72 DPI,4000 x 3000 pixels,"19° 26' 39.39"" N , 5° 48' 42.99"" E",In Guezzam,5.811941,,GoPro,image/jpeg,Africa / Niamey,East,Algeria,ISO 174,2016-01-19,f/2.8,,RGB ,,12.0 megapixels,North,414m. (Above Sea Level),In Guezzam,1/962 (0.001 seconds),19.444274,HERO7 Black,Not Used
GOPR1959.JPG,08:23:09 (GMT +01:00),Unknown,72 DPI,4000 x 3000 pixels,"19° 26' 39.38"" N , 5° 48' 42.94"" E",In Guezzam,5.811927,,GoPro,image/jpeg,Africa / Niamey,East,Algeria,ISO 178,2016-01-19,f/2.8,,RGB ,,12.0 megapixels,North,414m. (Above Sea Level),In Guezzam,1/962 (0.001 seconds),19.444273,HERO7 Black,Not Used
GOPR1967.JPG,08:01:11 (GMT +01:00),Unknown,72 DPI,4000 x 3000 pixels,"19° 20' 13.26"" N , 5° 46' 22.49"" E",,5.772913,,GoPro,image/jpeg,Africa / Niamey,East,Niger,ISO 100,2016-01-20,f/2.8,,RGB ,,12.0 megapixels,North,413m. (Above Sea Level),,1/1075 (0.0009 seconds),19.337017,HERO7 Black,Not Used
SAM_9412.JPG,,Unknown,72 DPI,1696 x 960 pixels,,,,,Samsung,image/jpeg,,,,ISO 0,,f/2.8,,RGB ,,1.6 megapixels,,,,1/100 (0.01 seconds),,SMX-F50BP,Used
IMG_20200206_101716.jpg,,Unknown,72 DPI,4608 x 3456 pixels,,,,,HUAWEI,image/jpeg,,,,ISO 200,,f/2.2,,RGB ,,15.9 megapixels,,,,1/50 (0.02 seconds),,INE-LX2r,Used
IMG_20200206_101801.jpg,,Unknown,72 DPI,4608 x 3456 pixels,,,,,HUAWEI,image/jpeg,,,,ISO 160,,f/2.2,,RGB ,,15.9 megapixels,,,,1/33 (0.0303 seconds),,INE-LX2r,Not Used
